Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
94693132,4/28/2020 14:51,4/28/2020 14:52,70517,65,1047,S 22nd St & E Carson St,1047,S 22nd St & E Carson St,Customer
94693235,4/28/2020 14:56,4/28/2020 16:11,70339,4487,1048,S 18th St & Sidney St,1048,S 18th St & Sidney St,Customer
94693246,4/28/2020 14:57,4/28/2020 15:14,70556,1042,1038,Boulevard of the Allies & Parkview Ave,1038,Boulevard of the Allies & Parkview Ave,Subscriber
94693274,4/28/2020 14:59,4/28/2020 16:03,70529,3840,1039,Atwood St & Bates St,,BIKE 70529,Customer
94693329,4/28/2020 15:01,4/28/2020 15:03,70521,106,1045,S 27th St & Sidney St. (Southside Works),1045,S 27th St & Sidney St. (Southside Works),Customer
94693341,4/28/2020 15:02,4/28/2020 16:11,70610,4137,1048,S 18th St & Sidney St,1048,S 18th St & Sidney St,Customer
94693363,4/28/2020 15:03,4/28/2020 16:03,70531,3594,1039,Atwood St & Bates St,1039,Atwood St & Bates St,Customer
94693547,4/28/2020 15:16,4/28/2020 16:53,70365,5841,1013,Isabella St & Federal St (PNC Park),1000,Liberty Ave & Stanwix St,Customer
94693556,4/28/2020 15:16,4/28/2020 15:21,70617,244,,BIKE 70617,1084,Hot Metal St & Tunnel Blvd,Customer
94693612,4/28/2020 15:20,4/28/2020 16:52,70586,5503,1013,Isabella St & Federal St (PNC Park),1000,Liberty Ave & Stanwix St,Customer
94693641,4/28/2020 15:23,4/28/2020 16:06,70212,2571,1047,S 22nd St & E Carson St,1047,S 22nd St & E Carson St,Customer
94693642,4/28/2020 15:23,4/28/2020 16:15,70517,3137,1047,S 22nd St & E Carson St,1047,S 22nd St & E Carson St,Customer
94693764,4/28/2020 15:31,4/28/2020 17:23,70451,6728,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),Customer
94693799,4/28/2020 15:34,4/28/2020 17:05,70593,5471,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
94693803,4/28/2020 15:34,4/28/2020 15:52,70527,1074,1072,Glasshouse,1012,North Shore Trail & Fort Duquesne Bridge,Subscriber
94693828,4/28/2020 15:36,4/28/2020 16:53,70534,4613,1000,Liberty Ave & Stanwix St,1001,Forbes Ave & Market Square,Customer
94693842,4/28/2020 15:37,4/28/2020 16:45,70489,4123,1045,S 27th St & Sidney St. (Southside Works),1045,S 27th St & Sidney St. (Southside Works),Customer
94693914,4/28/2020 15:41,4/28/2020 15:58,70520,996,49301,Centre Ave & N Craig St,49301,Centre Ave & N Craig St,Subscriber
94693959,4/28/2020 15:44,4/28/2020 17:26,70229,6122,1084,Hot Metal St & Tunnel Blvd,1084,Hot Metal St & Tunnel Blvd,Customer
94693960,4/28/2020 15:44,4/28/2020 17:25,70244,6090,1084,Hot Metal St & Tunnel Blvd,1084,Hot Metal St & Tunnel Blvd,Customer
94693961,4/28/2020 15:44,4/28/2020 17:26,70308,6127,1084,Hot Metal St & Tunnel Blvd,1084,Hot Metal St & Tunnel Blvd,Customer
94693983,4/28/2020 15:45,4/28/2020 17:25,70074,5990,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),Customer
94693984,4/28/2020 15:45,4/28/2020 17:26,70131,6064,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),Customer
94694096,4/28/2020 15:53,4/28/2020 15:55,70594,93,1012,North Shore Trail & Fort Duquesne Bridge,1012,North Shore Trail & Fort Duquesne Bridge,Subscriber
94694194,4/28/2020 16:01,4/28/2020 16:02,70665,87,1061,33rd St & Penn Ave ,1061,33rd St & Penn Ave ,Customer
94694232,4/28/2020 16:03,4/28/2020 16:41,70672,2256,1061,33rd St & Penn Ave ,1061,33rd St & Penn Ave ,Customer
94694254,4/28/2020 16:04,4/28/2020 16:40,70664,2180,1061,33rd St & Penn Ave ,1061,33rd St & Penn Ave ,Customer
94694684,4/28/2020 16:46,4/28/2020 16:52,70553,388,49731,Ross St & Fourth Ave,,BIKE 70553,Customer
94694724,4/28/2020 16:51,4/28/2020 17:03,70430,734,1094,O'Hara St & Desoto St,1043,S Millvale Ave & Centre Ave,Subscriber
94694736,4/28/2020 16:52,4/28/2020 17:07,70573,884,1047,S 22nd St & E Carson St,,BIKE 70573,Customer
94694823,4/28/2020 17:00,4/28/2020 17:45,70194,2650,1045,S 27th St & Sidney St. (Southside Works),,BIKE 70194,Customer
94694888,4/28/2020 17:09,4/28/2020 17:58,70655,2970,49801,Microsoft,49801,Microsoft,Customer
94695004,4/28/2020 17:22,4/28/2020 17:49,70530,1658,1003,First Ave & Smithfield St,49641,11th St & Penn Ave,Subscriber
94695010,4/28/2020 17:22,4/28/2020 20:07,70212,9887,1047,S 22nd St & E Carson St,1047,S 22nd St & E Carson St,Customer
94695011,4/28/2020 17:22,4/28/2020 18:54,70517,5517,1047,S 22nd St & E Carson St,1047,S 22nd St & E Carson St,Customer
94695033,4/28/2020 17:25,4/28/2020 18:23,70343,3491,1074,South Side Trail & S 4th St,,BIKE 70343,Customer
94695108,4/28/2020 17:35,4/28/2020 18:01,70167,1576,1049,S 12th St & E Carson St,1045,S 27th St & Sidney St. (Southside Works),Customer
94695109,4/28/2020 17:35,4/28/2020 20:07,70594,9126,,BIKE 70594,1072,Glasshouse,Customer
